number	title	artist	lyrics
06449	CADEIRA VAZIA	Elza Soares	Entra meu amor fica à vontade e diz com
03374	MULATA ASSANHADA	Elza Soares	O mulata assanhada ...
03771	SAMBA DA MINHA TERRA	Elza Soares	O samba da minha terra deixa a gente
15913	PASSARINHOS	Emicida - Vanessa Da Mata	Despencados de voos cansativos...
19688	BIG BIG WORLD	Emilia	I'm a big big girl in a big big world
07309	CADÊ JUÍZO	Emílio Santiago	Meu bem não trate o amor assim
15330	DORES DE AMORES	Emílio Santiago	Eu fico com essa dor ...
09671	ESSA FASE DO AMOR	Emílio Santiago	Essa fase do amor é bonita
02687	FLAMBOYANT	Emílio Santiago	Por quantas noites eu me vi desencantar
03128	LESÕES CORPORAIS	Emílio Santiago	Nós dois já não somos os mesmos não dá
01594	LOGO AGORA	Emílio Santiago	Logo agora justamente agora agora que eu
03141	MASCARADO	Emílio Santiago	Vejo agora este teu lindo ...
07184	MULHER	Emílio Santiago	Não sei... Que intensa magia teu corpo irradia
15265	PELO AMOR DE DEUS	Emílio Santiago	Pelo amor de Deus clareia a minha solidão
03213	PERFUME SIAMÊS	Emílio Santiago	Mas que prazer te rever que bom te
01233	ROSA MORENA	Emílio Santiago	Rosa morena onde vais morena Rosa
03244	SAIGON	Emílio Santiago	Tantas palavras meias palavras
03264	TÁ TUDO ERRADO	Emílio Santiago	Tá tudo errado entre nós o ...
07263	TRISTEZA DE NÓS DOIS	Emílio Santiago	Quando a noite vem vem a saudade dos seus
03500	VERDADE CHINESA	Emílio Santiago	Era só isso que eu queria da vida
03291	VOCÊ	Emílio Santiago	Você manhã de todo meu você
07020	LA SIGNORA DI TRENT'ANNI FA	Emílio Santiago	Il cuor mio indiscreto pace ancor non
03733	TUDO QUE SE QUER	Emílio Santiago-Verônica Sabino	Olha nos meus olhos esquece o que passou
19899	LOVE THE WAY YOU LIE	Eminem - Rihanna	Just gonna stand there and watch me burn
19719	WHAT TOOK YOU SO LONG	Emma Bunton	Talk to me can't you see
02778	VIDA DE EMPREGUETE	Empreguetes	Todo dia acordo cedo moro longe do
09253	DON'T LET GO (LOVE)	En Vogue	What's it gonna be? 'Cause I can't
04603	RELEASE ME	Engelbert Humperdinck	Please release me, let me go
03401	A PERIGO	Engenheiros do Hawaii	Planos de vôo Tava tudo em
03351	A PROMESSA	Engenheiros do Hawaii	Não vejo nada e o que eu vejo
16861	A REVOLTA DOS DANDIS - PARTE I	Engenheiros do Hawaii	Entre um rosto e um retrato
07557	ARMAS QUÍMICAS E POEMAS	Engenheiros do Hawaii	Eu me lembro muito bem como se fosse
09619	ATÉ O FIM	Engenheiros do Hawaii	Não vim até aqui pra desistir agora
16541	ATE O FIM - ACUSTICO	Engenheiros do Hawaii	Nao vim ate aqui pra desistir agora
07938	DEPOIS DE NÓS	Engenheiros do Hawaii	Hoje os ventos do destino co...
07948	DOM QUIXOTE	Engenheiros do Hawaii	Muito prazer meu nome é otário vindo de outros
15086	EU QUE NÃO AMO VOCÊ	Engenheiros do Hawaii	Eu que não fumo queria um cigarro
06419	INFINITA HIGHWAY	Engenheiros do Hawaii	Você me faz correr demais os riscos dessa
16379	NINGUEM NINGUEM	Engenheiros do Hawaii	Ha tantos quadros na parede
06186	NOVOS HORIZONTES	Engenheiros do Hawaii	Corpos em movimento universo em expansão
15145	NÚMEROS	Engenheiros do Hawaii	Última edição do Guiness Book corações a mais de mil
